iter	Logloss
0	0.5926032733
1	0.5265338698
2	0.4922081069
3	0.4671971928
4	0.4493904251
5	0.4383850859
6	0.4293086704
7	0.4233438844
8	0.4178682691
9	0.4143418952
10	0.4106596387
11	0.4084011967
12	0.405478547
13	0.4026697719
14	0.4007883637
15	0.3992060023
16	0.3976837516
17	0.3958139691
18	0.3940272108
19	0.3924338418
20	0.392399752
21	0.3914052275
22	0.3896137937
23	0.3881160628
24	0.3870396406
25	0.3854766612
26	0.3845299711
27	0.3829526122
28	0.381118294
29	0.3799971109
30	0.3791896426
31	0.3785372957
32	0.3773045034
33	0.3760861137
34	0.3754831049
35	0.3737743836
36	0.3715949212
37	0.3700338206
38	0.368390425
39	0.3670018666
40	0.3661285466
41	0.3646356935
42	0.3637623759
43	0.3623387453
44	0.3617004675
45	0.3612325635
46	0.3608004672
47	0.3597599432
48	0.3589477714
49	0.3582988359
50	0.3577443065
51	0.3565420908
52	0.3556663584
53	0.3548769124
54	0.35378026
55	0.3525180614
56	0.351207317
57	0.3501872813
58	0.349664723
59	0.3487481194
60	0.348026591
61	0.3465710242
62	0.3452852583
63	0.3438160142
64	0.3427482143
65	0.3421527561
66	0.3415355689
67	0.3405169738
68	0.3397053541
69	0.3386781948
70	0.3377954715
71	0.3372978437
72	0.3366044289
73	0.3358208839
74	0.335219104
75	0.3341676641
76	0.3333312275
77	0.332380791
78	0.3316501066
79	0.3308005738
80	0.3296154058
81	0.3284637201
82	0.3278408972
83	0.3270337101
84	0.3265449135
85	0.3254027522
86	0.3246981203
87	0.3236078934
88	0.3228447373
89	0.3220462892
90	0.3209683925
91	0.3199931791
92	0.3193393964
93	0.3181218696
94	0.3172013174
95	0.3161172459
96	0.3152875139
97	0.314561374
98	0.3138671335
99	0.3132386027
