iter	Passed	Remaining
0	20	2032
1	39	1952
2	59	1920
3	78	1891
4	97	1859
5	116	1826
6	128	1700
7	136	1572
8	143	1455
9	150	1354
10	157	1276
11	164	1206
12	171	1146
13	178	1093
14	185	1049
15	192	1010
16	199	972
17	205	937
18	212	906
19	218	875
20	222	837
21	229	812
22	235	789
23	242	769
24	249	748
25	256	729
26	263	711
27	269	693
28	276	677
29	283	661
30	290	645
31	296	630
32	303	616
33	310	602
34	316	588
35	323	575
36	330	562
37	336	549
38	343	537
39	350	525
40	357	513
41	363	502
42	370	491
43	377	480
44	384	470
45	391	459
46	397	448
47	406	440
48	413	430
49	419	419
50	426	409
51	433	399
52	439	389
53	446	380
54	453	371
55	460	362
56	467	352
57	474	343
58	481	334
59	487	325
60	494	316
61	501	307
62	508	298
63	515	289
64	521	280
65	528	272
66	535	263
67	542	255
68	549	246
69	556	238
70	562	229
71	569	221
72	576	213
73	583	204
74	589	196
75	596	188
76	603	180
77	609	171
78	616	163
79	623	155
80	629	147
81	636	139
82	644	131
83	651	124
84	657	116
85	664	108
86	671	100
87	678	92
88	685	84
89	691	76
90	698	69
91	705	61
92	711	53
93	719	45
94	735	38
95	742	30
96	749	23
97	756	15
98	763	7
99	769	0
