iter	Logloss
0	0.6801724887
1	0.6667460185
2	0.6543934951
3	0.6426574982
4	0.6312612037
5	0.6224829954
6	0.6129770326
7	0.6038086976
8	0.5954741571
9	0.5872343133
10	0.5791437643
11	0.5714206954
12	0.5644129985
13	0.5578701941
14	0.5520350826
15	0.5463182384
16	0.5409416931
17	0.5357975301
18	0.5307431444
19	0.5262493567
20	0.5214745408
21	0.5168438947
22	0.5124170665
23	0.5097355293
24	0.5059474095
25	0.5032139344
26	0.4997503974
27	0.4968130282
28	0.4937316195
29	0.4906395244
30	0.4884463485
31	0.4859291995
32	0.4833525419
33	0.4808541206
34	0.4786908397
35	0.4772373792
36	0.4754121181
37	0.473799812
38	0.4718396791
39	0.4699565477
40	0.4683129335
41	0.4666277902
42	0.4650493702
43	0.4636440089
44	0.4623531738
45	0.461240472
46	0.4598749506
47	0.4588455826
48	0.4574205321
49	0.4562176324
50	0.4551950804
51	0.4542085847
52	0.4530597562
53	0.4520188722
54	0.4509751521
55	0.4499540074
56	0.4491535507
57	0.4482346641
58	0.4477479241
59	0.4469700812
60	0.4461988748
61	0.4454004653
62	0.4450414264
63	0.4443884812
64	0.4436914007
65	0.4430412597
66	0.442361796
67	0.4417147704
68	0.4410795185
69	0.4408213829
70	0.4406156231
71	0.4399924718
72	0.4394615243
73	0.4389559376
74	0.4384570336
75	0.4380108153
76	0.4374928219
77	0.4370076135
78	0.4365225892
79	0.43600266
80	0.4355866644
81	0.4352224549
82	0.4347255107
83	0.4342510995
84	0.4338554084
85	0.4334708317
86	0.4330306659
87	0.4326426474
88	0.4322159146
89	0.4317558148
90	0.4314523163
91	0.431097157
92	0.4307218639
93	0.430391817
94	0.4299665967
95	0.4296588773
96	0.4293066223
97	0.4289318
98	0.4286206787
99	0.4282810008
100	0.4279493741
101	0.4276039878
102	0.4273756403
103	0.4271211942
104	0.4267540979
105	0.4263946272
106	0.4261235896
107	0.4260781125
108	0.4258409872
109	0.4254819172
110	0.4252593427
111	0.4250539061
112	0.4248109644
113	0.4244904871
114	0.424246561
115	0.4239983732
116	0.4237273315
117	0.4235236675
118	0.4233356316
119	0.4230367934
120	0.4227942137
121	0.4224860719
122	0.4222000205
123	0.4219898916
124	0.4217513584
125	0.4214141273
126	0.4211446049
127	0.4210990212
128	0.420824686
129	0.420613992
130	0.4203855547
131	0.4201673396
132	0.4199785347
133	0.419753288
134	0.4194833417
135	0.4192392417
136	0.418925037
137	0.4186712702
138	0.4184325264
139	0.4182268095
140	0.4180407651
141	0.4178621727
142	0.4176746464
143	0.4174315451
144	0.4172618612
145	0.4170747768
146	0.4168844016
147	0.4167003659
148	0.4165438247
149	0.4164379775
150	0.4161796219
151	0.4159584851
152	0.415860755
153	0.4155929989
154	0.4153804465
155	0.4152160193
156	0.4150648575
157	0.4148754359
158	0.4147379044
159	0.4145972108
160	0.4144252108
161	0.4142261414
162	0.4140959793
163	0.4139750879
164	0.4137516146
165	0.4135647661
166	0.4133647037
167	0.4131914799
168	0.4130736253
169	0.4129634586
170	0.4127642671
171	0.4126165102
172	0.4124509199
173	0.4122271737
174	0.4122071592
175	0.4120424539
176	0.411908693
177	0.4117589661
178	0.411670003
179	0.4114556437
180	0.4113507441
181	0.4110978822
182	0.4109324387
183	0.4108165198
184	0.4106595846
185	0.4104309146
186	0.4103237041
187	0.4103067836
188	0.4101403048
189	0.4099580897
190	0.4097666849
191	0.4095213128
192	0.4093505852
193	0.4091362985
194	0.4089847164
195	0.4087905808
196	0.4086570087
197	0.4085085466
198	0.4083433988
199	0.4081741699
200	0.40798109
201	0.4078102833
202	0.4076052468
203	0.407421272
204	0.4072577593
205	0.4070638575
206	0.4068901607
207	0.4067577861
208	0.4066108742
209	0.4066062183
210	0.4064655615
211	0.4062661603
212	0.4061261031
213	0.4059998682
214	0.4058393138
215	0.4057029226
216	0.4055998278
217	0.4054916769
218	0.4053387877
219	0.4051678299
220	0.4050672582
221	0.4048578292
222	0.4047178913
223	0.4045410775
224	0.4044618619
225	0.4043379266
226	0.4041574516
227	0.4040351921
228	0.4039038118
229	0.4037399821
230	0.4035949349
231	0.4035077765
232	0.4033315134
233	0.4031513003
234	0.4030300641
235	0.4028662507
236	0.4027619484
237	0.4026289287
238	0.402483156
239	0.4023794574
240	0.4023097638
241	0.4021213015
242	0.4019879365
243	0.4017869767
244	0.4016444424
245	0.4014884718
246	0.4014252009
247	0.4013353489
248	0.4012308795
249	0.4011228435
250	0.4009945847
251	0.4008492615
252	0.4006611946
253	0.4005384497
