iter	Passed	Remaining
0	334	333698
1	356	177664
2	376	125205
3	386	96228
4	393	78299
5	400	66359
6	406	57649
7	411	51050
8	416	45851
9	421	41744
10	427	38403
11	432	35600
12	437	33215
13	442	31194
14	448	29435
15	453	27889
16	458	26526
17	464	25313
18	469	24228
19	474	23258
20	479	22372
21	485	21579
22	490	20851
23	494	20126
24	500	19512
25	506	18985
26	512	18457
27	517	17964
28	523	17515
29	528	17090
30	533	16688
31	539	16320
32	545	15971
33	550	15650
34	556	15334
35	561	15026
36	567	14767
37	573	14506
38	578	14257
39	584	14018
40	589	13791
41	595	13580
42	601	13379
43	606	13177
44	612	12990
45	617	12805
46	623	12634
47	630	12510
48	637	12380
49	644	12253
50	650	12111
51	656	11966
52	662	11832
53	667	11696
54	673	11569
55	678	11442
56	684	11318
57	689	11205
58	693	11066
59	698	10945
60	710	10943
61	734	11114
62	756	11245
63	767	11219
64	775	11153
65	782	11068
66	789	10994
67	796	10920
68	804	10854
69	809	10753
70	813	10645
71	821	10583
72	831	10564
73	839	10501
74	845	10432
75	856	10411
76	863	10356
77	871	10306
78	878	10246
79	885	10180
80	892	10123
81	901	10089
82	913	10092
83	920	10037
84	928	9997
85	936	9948
86	942	9889
87	949	9835
88	955	9778
89	961	9726
90	968	9676
91	975	9624
92	981	9571
93	987	9518
94	993	9464
95	1000	9416
96	1006	9370
97	1012	9321
98	1019	9274
99	1024	9222
100	1030	9168
101	1035	9114
102	1040	9060
103	1045	9007
104	1050	8956
105	1056	8907
106	1061	8857
107	1064	8794
108	1069	8744
109	1074	8696
110	1080	8650
111	1085	8607
112	1091	8563
113	1096	8520
114	1101	8477
115	1106	8435
116	1112	8395
117	1117	8354
118	1123	8315
119	1128	8275
120	1133	8234
121	1138	8195
122	1144	8159
123	1149	8121
124	1155	8086
125	1162	8061
126	1169	8036
127	1173	7991
128	1178	7955
129	1183	7919
130	1188	7885
131	1194	7852
132	1199	7818
133	1204	7786
134	1210	7753
135	1215	7723
136	1221	7696
137	1227	7668
138	1232	7635
